,Diag,Positive examples out of 2320
5,New Diag.Processing Speed Deficit,559
1,New Diag.Specific Learning Disorder with Impairment in Mathematics,461
3,New Diag.Borderline Intellectual Functioning,393
0,New Diag.Specific Learning Disorder with Impairment in Reading,367
4,New Diag.Specific Learning Disorder with Impairment in Written Expression,156
2,New Diag.Intellectual Disability-Mild,55
