,Value
n_rows_full_ds,2283
n_rows_train_ds,1460
n_rows_val_ds,366
n_rows_test_ds,457
n_rows_test_ds_only_healthy_controls,137
n_rows_val_ds_only_healthy_controls,100
n_input_cols,833
