,Diag,Positive examples out of 2283
5,New Diag.Processing Speed Deficit,551
0,New Diag.Specific Learning Disorder with Impairment in Reading,464
1,New Diag.Specific Learning Disorder with Impairment in Mathematics,215
4,New Diag.Specific Learning Disorder with Impairment in Written Expression,154
2,New Diag.Intellectual Disability-Mild,35
3,New Diag.Borderline Intellectual Functioning,26
