,Diag,Positive examples out of 1396
5,New Diag.Processing Speed Deficit,346
0,New Diag.Specific Learning Disorder with Impairment in Reading,299
1,New Diag.Specific Learning Disorder with Impairment in Mathematics,169
4,New Diag.Specific Learning Disorder with Impairment in Written Expression,120
2,New Diag.Intellectual Disability-Mild,26
3,New Diag.Borderline Intellectual Functioning,20
