,Diag,Positive examples out of 2320
5,New Diag.Processing Speed Deficit,559
0,New Diag.Specific Learning Disorder with Impairment in Reading,470
1,New Diag.Specific Learning Disorder with Impairment in Mathematics,217
4,New Diag.Specific Learning Disorder with Impairment in Written Expression,156
2,New Diag.Intellectual Disability-Mild,36
3,New Diag.Borderline Intellectual Functioning,26
