,Value
n_rows_full_ds,2320
n_rows_train_ds,1484
n_rows_val_ds,372
n_rows_test_ds,464
n_rows_test_ds_only_healthy_controls,128
n_rows_val_ds_only_healthy_controls,96
n_input_cols,838
