,Value
n_rows_full_ds,1422
n_rows_train_ds,909
n_rows_val_ds,228
n_rows_test_ds,285
n_rows_test_ds_only_healthy_controls,81
n_rows_val_ds_only_healthy_controls,55
n_input_cols,1061
