,Amount missing,Persentage missing
"APQ_P,APQ_P_41",2,0.139
"APQ_P,APQ_P_42",2,0.139
"SRS,SRS_32",1,0.069
"SRS,SRS_35",1,0.069
"SAS,SAS_08",1,0.069
"PSI,PSI_30",1,0.069
"RBS,RBS_02",1,0.069
"PSI,PSI_25",1,0.069
"SRS,SRS_31",1,0.069
"SAS,SAS_05",1,0.069
"SAS,SAS_01",1,0.069
"SRS,SRS_36",1,0.069
"SCARED_P,SCARED_P_13",1,0.069
"SRS,SRS_29",1,0.069
"SRS,SRS_28",1,0.069
"SCARED_SR,SCARED_SR_16",1,0.069
"SCARED_SR,SCARED_SR_20",1,0.069
"SCARED_SR,SCARED_SR_21",1,0.069
"SCARED_SR,SCARED_SR_24",1,0.069
"SRS,SRS_12",1,0.069
"SRS,SRS_11",1,0.069
"SRS,SRS_09",1,0.069
"SympChck,CSC_01C",1,0.069
"SCARED_SR,SCARED_SR_34",1,0.069
"SCARED_SR,SCARED_SR_35",1,0.069
"SCARED_SR,SCARED_SR_36",1,0.069
"SRS,SRS_05",1,0.069
"SRS,SRS_04",1,0.069
"SCARED_SR,SCARED_SR_40",1,0.069
"SCARED_SR,SCARED_SR_41",1,0.069
"C3SR,C3SR_03",1,0.069
"C3SR,C3SR_04",1,0.069
"C3SR,C3SR_11",1,0.069
"WIAT,WIAT_Word_Stnd",1,0.069
"SWAN,SWAN_08",1,0.069
"SWAN,SWAN_07",1,0.069
"SWAN,SWAN_06",1,0.069
"SWAN,SWAN_04",1,0.069
"SWAN,SWAN_02",1,0.069
"C3SR,C3SR_38",1,0.069
"SCARED_SR,SCARED_SR_12",1,0.069
"SCARED_SR,SCARED_SR_09",1,0.069
"SCARED_SR,SCARED_SR_07",1,0.069
"WHODAS_SR,WHODAS_SR_09",1,0.069
"SympChck,CSC_07C",1,0.069
"SDQ,SDQ_08",1,0.069
"RBS,RBS_33",1,0.069
"RBS,RBS_35",1,0.069
"RBS,RBS_37",1,0.069
"RBS,RBS_38",1,0.069
"RBS,RBS_40",1,0.069
"RBS,RBS_41",1,0.069
"RBS,RBS_42",1,0.069
"WHODAS_SR,WHODAS_SR_01",1,0.069
"WHODAS_SR,WHODAS_SR_02",1,0.069
"SDQ,SDQ_09",1,0.069
"SCARED_SR,SCARED_SR_06",1,0.069
"SympChck,CSC_03C",1,0.069
"SympChck,CSC_02P",1,0.069
"SympChck,CSC_02C",1,0.069
"PSI,PSI_15",1,0.069
"CIS_SR,CIS_SR_04",1,0.069
"CIS_SR,CIS_SR_05",1,0.069
"CIS_SR,CIS_SR_08",1,0.069
"CIS_SR,CIS_SR_09",1,0.069
"CIS_SR,CIS_SR_11",1,0.069
"CIS_SR,CIS_SR_13",1,0.069
"SCARED_SR,SCARED_SR_01",1,0.069
"CIS_SR,CIS_SR_02",1,0.069
"CBCL,CBCL_106",1,0.069
"PSI,PSI_13",1,0.069
"PCIAT,PCIAT_13",1,0.069
"DTS,DTS_10",1,0.069
"DTS,DTS_04",1,0.069
"DTS,DTS_03",1,0.069
"CBCL,CBCL_61",1,0.069
"CBCL,CBCL_64",1,0.069
"ASSQ,ASSQ_08",1,0.069
"PCIAT,PCIAT_10",1,0.069
"DTS,DTS_12",1,0.069
"PCIAT,PCIAT_02",1,0.069
"PCIAT,PCIAT_01",1,0.069
"CBCL,CBCL_78",1,0.069
"APQ_P,APQ_P_39",1,0.069
"CBCL,CBCL_81",1,0.069
"APQ_P,APQ_P_32",1,0.069
"DTS,DTS_11",1,0.069
"SCQ,SCQ_31",1,0.069
"APQ_P,APQ_P_29",1,0.069
"ASSQ,ASSQ_13",1,0.069
"SCQ,SCQ_10",1,0.069
"SCQ,SCQ_13",1,0.069
"SCQ,SCQ_16",1,0.069
"CBCL,CBCL_52",1,0.069
"CBCL,CBCL_54",1,0.069
"SCQ,SCQ_21",1,0.069
"ESWAN,DMDD_3B",1,0.069
"SCQ,SCQ_30",1,0.069
"CBCL,CBCL_56G",1,0.069
"ASSQ,ASSQ_11",1,0.069
"CBCL,CBCL_57",1,0.069
"SCQ,SCQ_23",1,0.069
"SCQ,SCQ_24",1,0.069
"SCQ,SCQ_25",1,0.069
"ASSQ,ASSQ_03",1,0.069
"APQ_P,APQ_P_27",1,0.069
"SCQ,SCQ_08",1,0.069
"SCARED_P,SCARED_P_33",1,0.069
"ICU_P,ICU_P_04",1,0.069
"SCARED_P,SCARED_P_01",1,0.069
"ICU_P,ICU_P_02",1,0.069
"SCARED_P,SCARED_P_41",1,0.069
"SCARED_P,SCARED_P_39",1,0.069
"SCARED_P,SCARED_P_05",1,0.069
"SCARED_P,SCARED_P_32",1,0.069
"ICU_P,ICU_P_07",1,0.069
"SCARED_P,SCARED_P_31",1,0.069
"SCARED_P,SCARED_P_08",1,0.069
"SCARED_P,SCARED_P_29",1,0.069
"SCARED_P,SCARED_P_11",1,0.069
"SCARED_P,SCARED_P_12",1,0.069
"SCARED_P,SCARED_P_20",1,0.069
"ICU_P,ICU_P_06",1,0.069
"ICU_P,ICU_P_10",1,0.069
"APQ_P,APQ_P_26",1,0.069
"APQ_P,APQ_P_11",1,0.069
"APQ_P,APQ_P_23",1,0.069
"APQ_P,APQ_P_22",1,0.069
"APQ_P,APQ_P_21",1,0.069
"ASSQ,ASSQ_01",1,0.069
"APQ_P,APQ_P_17",1,0.069
"APQ_P,APQ_P_14",1,0.069
"APQ_P,APQ_P_09",1,0.069
"ICU_P,ICU_P_12",1,0.069
"APQ_P,APQ_P_03",1,0.069
"APQ_P,APQ_P_02",1,0.069
"APQ_P,APQ_P_01",1,0.069
"ICU_P,ICU_P_23",1,0.069
"ICU_P,ICU_P_18",1,0.069
"CBCL,CBCL_97",1,0.069
"SCQ,SCQ_09",1,0.069
"CBCL,CBCL_47",1,0.069
"PSI,PSI_08",1,0.069
"SDQ,SDQ_02",1,0.069
"SRS,SRS_59",1,0.069
"SRS,SRS_60",1,0.069
"SRS,SRS_61",1,0.069
"CBCL,CBCL_02",1,0.069
"CBCL,CBCL_06",1,0.069
"CBCL,CBCL_08",1,0.069
"CBCL,CBCL_107",1,0.069
"SympChck,CSC_18C",1,0.069
"APQ_SR,APQ_SR_06",1,0.069
"CBCL,CBCL_11",1,0.069
"CBCL,CBCL_110",1,0.069
"APQ_SR,APQ_SR_03",1,0.069
"APQ_SR,APQ_SR_02",1,0.069
"SDQ,SDQ_01",1,0.069
"SympChck,CSC_19C",1,0.069
"SRS,SRS_54",1,0.069
"ASSQ,ASSQ_26",1,0.069
"WHODAS_P,WHODAS_P_08",1,0.069
"PSI,PSI_01",1,0.069
"CIS_P,CIS_P_12",1,0.069
"CIS_P,CIS_P_06",1,0.069
"CIS_P,CIS_P_04",1,0.069
"SympChck,CSC_09C",1,0.069
"SRS,SRS_45",1,0.069
"SDQ,SDQ_03",1,0.069
"SRS,SRS_52",1,0.069
"WHODAS_P,WHODAS_P_03",1,0.069
"SympChck,CSC_12C",1,0.069
"SRS,SRS_47",1,0.069
"APQ_SR,APQ_SR_41",1,0.069
"APQ_SR,APQ_SR_38",1,0.069
"APQ_SR,APQ_SR_36",1,0.069
"MFQ_P,MFQ_P_34",1,0.069
"ASSQ,ASSQ_22",1,0.069
"ESWAN,MDD_2A",1,0.069
"SympChck,CSC_49C",1,0.069
"CBCL,CBCL_20",1,0.069
"CBCL,CBCL_23",1,0.069
"CBCL,CBCL_26",1,0.069
"CBCL,CBCL_27",1,0.069
"SympChck,CSC_46C",1,0.069
"SympChck,CSC_48C",1,0.069
"ASSQ,ASSQ_19",1,0.069
"SympChck,CSC_40C",1,0.069
"CBCL,CBCL_31",1,0.069
"CBCL,CBCL_34",1,0.069
"CBCL,CBCL_38",1,0.069
"CBCL,CBCL_42",1,0.069
"ESWAN,MDD_4",1,0.069
"ESWAN,MDD_3A",1,0.069
"CBCL,CBCL_19",1,0.069
"CBCL,CBCL_14",1,0.069
"MFQ_P,MFQ_P_28",1,0.069
"MFQ_P,MFQ_P_14",1,0.069
"MFQ_P,MFQ_P_27",1,0.069
"MFQ_P,MFQ_P_25",1,0.069
"MFQ_P,MFQ_P_23",1,0.069
"MFQ_P,MFQ_P_22",1,0.069
"MFQ_P,MFQ_P_21",1,0.069
"MFQ_P,MFQ_P_17",1,0.069
"MFQ_P,MFQ_P_12",1,0.069
"CBCL,CBCL_13",1,0.069
"CBCL,CBCL_12",1,0.069
"MFQ_P,MFQ_P_08",1,0.069
"MFQ_P,MFQ_P_07",1,0.069
"MFQ_P,MFQ_P_06",1,0.069
"MFQ_P,MFQ_P_04",1,0.069
"MFQ_P,MFQ_P_01",1,0.069
"SCQ,SCQ_20",1,0.069
